Acetic acid,,liquid,1.049,CH3CO2H,60.052
Acetone,,liquid,0.7845,CH3COCH3,58.0791
Agarose,,solid,,variable,
Ammonium acetate,,solid,,CH3CO2NH4,77.0825
Ammonium Chloride,,solid,,NH4Cl,53.4915
Ammonium sulfate,,solid,,(NH4)2SO4,132.1395
Biotin,,solid,,C10H16N2O3S,244.3106
Naphthol Blue Black,Amino Black,solid,,C22H14N6Na2O9S2,616.4909
β-Mercaptoethanol,BME,liquid,1.114,HOCH2CH2SH,78.1334
Boric acid,,solid,,H3BO3,61.833
Brilliant Blue G,,solid,,C47H48N3NaO7S2,854.0197
Brilliant Blue R,,solid,,C45H44N3NaO7S2,825.9665
bromophenol blue,,solid,,C19H10Br4O5S,669.9607
Calcium carbonate precipitated,,solid,,CcaO3,100.0869
Calcium Chloride (anhydrous),,solid,,CaCl2,110.984
Calcium Chloride (dihydrate),,solid,,CaCl2 · 2H2O,147.0146
Calcium sulphate (dihydrate),,solid,,CaSO4 · 2H2O,172.1712
Cesium Chloride,,solid,,CsCl,168.3585
Chloroform,,liquid,1.489,CHCl3,119.3776
Copper (II) sulphate (anhydrous),,solid,,CuSO4,159.6086
Copper (II) sulphate (pentahydrate),,solid,,CuSO4 · 5H2O,249.685
Crystal violet,,solid,,C25H30N3Cl,407.9788
Sodium deoxycholate,,solid,,C24H39NaO4,414.5538
Dimethyl sulfoxide,DMSO,liquid,1.1004,(CH3)2SO,78.1334
Ethylenediaminetetraacetic acid,EDTA,solid,,(HO2CCH2)2NCH2CH2N(CH2CO2H)2,292.2426
Ethyl alcohol (pure),Ethanol,liquid,0.7893,CH3CH2OH,46.0684
Ferrous Chloride (anhydrous),,solid,,FeCl2,126.751
Ferrous Chloride (tetrahydrate),,solid,,FeCl2 · 4H2O,198.8121
Formaldehyde,Formalin,liquid,0.8153,HCHO,30.0260
Glucose,,solid,,C6H12O6,180.1559
Glutamic acid,,solid,,HO2CCH2CH2CH(NH2)CO2H,147.1293
Glycerin,,liquid,1.261,HOCH2CH(OH)CH2OH,92.0938
Glycine,,solid,,NH2CH2COOH,75.0666
Guanidine,,solid,,C1H5N3,59.0705
"4-(2-Hydroxyethyl)piperazine-1-ethanesulfonic acid, N-(2-Hydroxyethyl)piperazine-N′-(2-ethanesulfonic acid)",HEPES,solid,,C8H18N2O4S,238.3045
Hydrogen chloride,,solid,,HCl,36.4609
"1,3-Diaza-2,4-cyclopentadiene",Imidazole,solid,,C3H4N2,68.0773
Isopropyl alcohol,2-Propanol,solid,,(CH3)2CHOH,60.095
